"Guid","AnnualRevenue","Assetphone__c","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Test_checkbox__c","Test_currency__c","Test_dateFields__c","Textfield__c","Title","Website"
04636a8c-3818-4b99-a02e-e5044d3c7a98,"#N/A","#N/A","#N/A",Test,"#N/A","#N/A",test@gmail.com,"#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Test,"#N/A","#N/A","#N/A","#N/A",09090909,"#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A",Testing,"#N/A"
26bd7f1d-92ac-4d4b-b9fd-ebb76f492775,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
2f2b513f-539f-43ad-a52d-e9265e874765,"#N/A","#N/A","#N/A",any1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
3bf84c22-b686-4a47-a3af-a9750a0fbfc7,"#N/A","#N/A","#N/A",Rob Test Account 1,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,true,"#N/A",Test Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
6816ee17-0757-4513-ab3c-d063b75ec4dd,"#N/A","#N/A","#N/A",not1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",hot1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
702f4984-7af0-42a5-b08f-062d109c15cc,"#N/A","#N/A","#N/A",Test Pvt Ltd 2,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
77b6a909-b46d-44d9-b98a-79247242e409,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
828f40e3-315a-4c7d-bcdc-d2d5b2dee56a,"#N/A","#N/A","#N/A",A1,"#N/A","#N/A","#N/A","#N/A",Lead,"#N/A","#N/A",false,false,"#N/A",Al5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
8899c6f0-cbcd-4ada-b3b6-4cc6e192ba18,"#N/A","#N/A","#N/A",Rob Test Account 1,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,true,"#N/A",Test Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
99282424-95db-4ff7-9c53-d2204e0d598d,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
ad2a6db5-9e9e-46f5-9d0f-a5cde489b918,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
b741b47e-a37d-4751-9c2e-f168e27566a9,"#N/A","#N/A","#N/A",Test Pvt Ltd 2,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
bc1c8882-1b0f-416f-96f8-d28875b20f51,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
c5d0dd9f-3906-4a91-bb4d-de335d8ee8a1,"#N/A","#N/A","#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
c77d4dba-7e35-4302-ac74-0f26a5278ba3,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
c953b5e7-c621-4448-ae29-37786de9aaac,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
ccee5e78-e987-4946-afe2-aed8fa9914d0,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
